Model Name,NGram,Niter,mean(acc),std(acc),N,PctTrain,clean,start,end,Data Sets,TrainP,TestP,Prec,Recall,F1,Stack
svm,1:1,10,0.8378378378378379,0.034186785515333835,148,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.28018018018018015,0.26756756756756755,0.686031746031746,0.7083982683982685,0.6922764854734165,True
logistic,1:1,10,0.8405405405405407,0.040899313379517736,148,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.28018018018018015,0.26756756756756755,0.7003427128427128,0.6850216450216451,0.6881035171585717,True
logistic_lasso,1:1,10,0.8162162162162163,0.05643408923735434,148,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.28018018018018015,0.26756756756756755,0.6364102564102565,0.7352164502164502,0.6769877713931423,True
Naive Bayes,1:1,10,0.6702702702702702,0.041519706745235724,148,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.28018018018018015,0.26756756756756755,0.43322057808630693,0.8124963924963925,0.5631924315619967,True
svm,2:2,10,0.8216216216216218,0.07068484773309198,148,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.2675675675675676,0.30540540540540545,0.817536075036075,0.5492207792207792,0.647121368969195,True
logistic,2:2,10,0.8324324324324325,0.06707931700535598,148,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.2675675675675676,0.30540540540540545,0.8691233766233767,0.5415284715284714,0.6570174433409728,True
logistic_lasso,2:2,10,0.8432432432432433,0.05896601143046331,148,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.2675675675675676,0.30540540540540545,0.769983660130719,0.7401040626040627,0.7434367206348977,True
Naive Bayes,2:2,10,0.8,0.04864864864864864,148,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.2675675675675676,0.30540540540540545,0.7960497835497835,0.5297427572427572,0.6055717220665396,True
svm,3:3,10,0.8486486486486488,0.04391372110614032,148,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.28108108108108104,0.2648648648648649,0.8504761904761905,0.5469172494172494,0.6544987692046516,True
logistic,3:3,10,0.8567567567567569,0.03636114607317219,148,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.28108108108108104,0.2648648648648649,0.8845238095238095,0.5392249417249417,0.6626566639414937,True
logistic_lasso,3:3,10,0.8783783783783784,0.054390842695940834,148,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.28108108108108104,0.2648648648648649,0.8310839160839161,0.7274883449883449,0.7659412318585828,True
Naive Bayes,3:3,10,0.7621621621621621,0.09028807074859495,148,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.28108108108108104,0.2648648648648649,0.5779277739804056,0.6214024864024864,0.5865085638998682,True
svm,5:5,10,0.8567567567567567,0.06842696703336307,148,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.27297297297297296,0.2891891891891892,0.877936507936508,0.6194305694305694,0.7090314587373411,True
logistic,5:5,10,0.8513513513513514,0.07475306316723962,148,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.27297297297297296,0.2891891891891892,0.876825396825397,0.6056210456210456,0.6957019392865401,True
logistic_lasso,5:5,10,0.9216216216216215,0.04750917792228904,148,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.27297297297297296,0.2891891891891892,0.9005605505605505,0.8362509712509713,0.8633341821577115,True
Naive Bayes,5:5,10,0.7783783783783784,0.037837837837837854,148,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.27297297297297296,0.2891891891891892,0.5897495486969171,0.7644494394494394,0.6539650541445894,True
svm,10:10,10,0.8162162162162161,0.07027027027027027,148,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.26216216216216215,0.3216216216216216,0.872929292929293,0.5401182151182151,0.6316002336043786,True
logistic,10:10,10,0.8162162162162161,0.07027027027027027,148,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.26216216216216215,0.3216216216216216,0.872929292929293,0.5401182151182151,0.6316002336043786,True
logistic_lasso,10:10,10,0.9216216216216215,0.04089931337951773,148,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.26216216216216215,0.3216216216216216,0.9211630036630037,0.8445629370629371,0.8672483410309496,True
Naive Bayes,10:10,10,0.7945945945945946,0.05821799791496762,148,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.26216216216216215,0.3216216216216216,0.6603045492519176,0.785520313020313,0.7054108339260469,True
svm,15:15,10,0.8837837837837839,0.051351351351351354,148,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.2846846846846847,0.254054054054054,0.8755952380952381,0.6744372294372295,0.7477715121136174,True
logistic,15:15,10,0.8837837837837839,0.051351351351351354,148,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.2846846846846847,0.254054054054054,0.8755952380952381,0.6744372294372295,0.7477715121136174,True
